Simulations done with T=100 M=1000 MAX_MU_A=10 MAX_MU_B=10 MAX_ALPHA_A=10 MAX_ALPHA_B=10 MAX_BETA_A10 MAX_BETA_B10
muA,muB,alphaA,alphaB,betaA,betaB,explodedA,explodedB
5.986748354968038,1.7016639567149772,5.886317941943593,9.817126097011595,4.482666250378894,2.3752223488697553,True,False
7.934825806443975,4.896354526887921,8.012060816837419,3.8061929667758454,1.219594250803726,8.022253234548138,True,False
3.4259594140202996,8.582368242666522,9.518876839375723,6.048439563376037,5.338572946477442,2.6520780869354943,True,False
6.221815339514059,2.262754878242853,1.0912447520270108,3.6640919450576312,1.0365883009833043,1.7042066649189658,True,False
4.583412606124348,3.8887053156912366,3.807336703567236,7.9593729223376695,8.60930294609608,2.5645435369961334,False,False
1.5521046486027834,8.189738423326165,3.5809100011553796,6.846719370301683,4.947039200359654,3.0411297072755428,False,True
4.799540226825632,7.3293736902189135,1.9895947677556314,7.322325749638115,6.895585545596353,9.417817171934884,False,False
5.233106514166456,4.807850165163874,7.670065081076557,1.8954404212967835,8.520749338093083,2.7360402583621415,False,False
1.2613193082983842,1.8906436413843797,3.8158091708735875,4.51337282702733,4.726729102258625,5.849629549528484,False,False
2.874401846283515,8.919666369417925,1.6974411550569235,7.563874070314057,2.0021700036048373,9.117532880437755,False,False
2.974504976810789,4.0177244521119695,1.7941091176664192,4.488249427856756,1.5353842398635809,7.405337327784337,True,False
7.29497333936923,9.403231781518802,7.2167315970810995,3.461290245257016,1.8680602855684758,9.889689470062839,True,False
0.3581947888776982,7.530046870753536,0.18179038388694724,8.541581485247917,5.035335750781274,6.79952597889117,False,True
4.600969525120837,1.5093003315054998,7.2947073264691396,1.9218412457906953,9.579603063365484,5.742521020633409,False,False
4.8686804634387695,7.9640578716818595,2.438894520694147,3.1596948440979,0.39763090377170296,9.645588794314481,True,False
2.66395809139351,9.712458628454332,9.108509291402813,9.581166959522093,6.696558090519364,8.599943052901024,True,False
2.1777915564832897,4.636124799368534,5.750340880988654,9.810403397553449,9.790116934640581,8.898413602689663,False,True
4.443572570484604,2.9668093572936938,9.659714448111552,7.253841002841909,7.840685197868211,0.7555691817905363,True,False
9.785720995692115,6.045349992897192,3.581320496866832,9.833150076294315,2.975060910822677,6.801272395158557,True,False
2.7627875580336703,1.0371460179443748,7.369713378915332,6.401416288531584,9.060902311182273,7.069267183753753,False,False
5.280920846487849,7.886542408042862,4.0942575557731145,2.9375316592629708,5.824751407174903,2.4258000218483557,False,False
8.484925665219238,3.238513942752117,8.600856164821453,8.103580877100741,2.3156747203986794,6.419499047668684,True,False
2.791426789804431,7.2660729281291,9.442177714622058,0.3548852005813685,0.408465798532317,8.182894778567725,True,False
9.717661709348409,9.745951162399725,7.149347085420494,0.615810361133694,6.73110860694192,2.009370232848897,True,False
